owner,repo,issue_number,closed_event_created_at,commit_id,commit_url,closed_by,closure_type
psf,requests,3066,2016-12-08 12:33:13+00:00,,,Lukasa,manual_or_unknown
psf,requests,2003,2016-12-17 17:00:49+00:00,,,Lukasa,manual_or_unknown
pallets,flask,2118,2016-12-26 02:51:24+00:00,789715adb9949f58b7b0272bed1a58d7cd0fad30,https://api.github.com/repos/pallets/flask/commits/789715adb9949f58b7b0272bed1a58d7cd0fad30,untitaker,commit_linked
pallets,flask,1829,2016-12-26 18:59:20+00:00,,,mitsuhiko,manual_or_unknown
psf,requests,1561,2017-01-09 16:17:38+00:00,,,Lukasa,manual_or_unknown
psf,requests,1648,2017-03-02 16:28:35+00:00,,,nateprewitt,manual_or_unknown
pallets,flask,2007,2017-05-14 05:13:57+00:00,c3d49e29ea42d2f468bc780c15683ca197b50d02,https://api.github.com/repos/pallets/flask/commits/c3d49e29ea42d2f468bc780c15683ca197b50d02,davidism,commit_linked
pallets,flask,2033,2017-05-16 00:11:35+00:00,,,davidism,manual_or_unknown
psf,requests,4030,2017-05-18 01:41:01+00:00,,,sigmavirus24,manual_or_unknown
pallets,flask,1911,2017-05-22 19:37:58+00:00,,,davidism,manual_or_unknown
pallets,flask,941,2017-05-23 19:55:33+00:00,,,jeffwidman,manual_or_unknown
pallets,flask,1995,2017-05-29 19:50:13+00:00,,,davidism,manual_or_unknown
pallets,flask,1877,2017-05-30 20:47:38+00:00,,,davidism,manual_or_unknown
pallets,flask,1837,2017-06-01 01:10:00+00:00,,,davidism,manual_or_unknown
pallets,flask,1348,2017-06-03 19:26:15+00:00,,,davidism,manual_or_unknown
pallets,flask,2267,2017-06-05 13:34:50+00:00,,,davidism,manual_or_unknown
pallets,flask,2526,2017-11-24 23:44:49+00:00,c52e1b7388c17466a551391cdf81964bf0b7aef0,https://api.github.com/repos/pallets/flask/commits/c52e1b7388c17466a551391cdf81964bf0b7aef0,ThiefMaster,commit_linked
psf,requests,4401,2017-11-27 21:52:45+00:00,,,Lukasa,manual_or_unknown
pallets,flask,2549,2017-12-11 18:17:42+00:00,,,davidism,manual_or_unknown
psf,requests,4275,2018-01-16 14:07:27+00:00,,,sigmavirus24,manual_or_unknown
psf,requests,4443,2018-01-21 18:53:24+00:00,,,nateprewitt,manual_or_unknown
psf,requests,1871,2018-02-24 14:55:18+00:00,,,sigmavirus24,manual_or_unknown
pallets,flask,2651,2018-04-09 10:00:42+00:00,,,davidism,manual_or_unknown
pallets,flask,2731,2018-04-27 19:47:01+00:00,,,davidism,manual_or_unknown
pallets,flask,2735,2018-04-28 14:01:55+00:00,,,davidism,manual_or_unknown
pallets,flask,2743,2018-04-30 00:55:44+00:00,,,davidism,manual_or_unknown
pallets,flask,2728,2018-04-30 01:27:34+00:00,,,davidism,manual_or_unknown
psf,requests,4748,2018-07-24 16:46:20+00:00,,,nateprewitt,manual_or_unknown
psf,requests,4716,2018-09-14 12:08:05+00:00,,,nateprewitt,manual_or_unknown
