owner,repo,project,issue_number,title,created_at,closed_at,fix_time_days,comments,labels,html_url,closed_event_created_at,commit_id,commit_message,commit_date,total_changes,additions,deletions,changed_files,linked_to_commit,closure_type
psf,requests,psf/requests,4986,Doctest fails (7 out of 11),2019-02-17 18:24:38+00:00,2021-08-07 02:26:11+00:00,901.3344097222222,2,Bug;PR(s) available,https://github.com/psf/requests/issues/4986,2021-08-07 02:26:11+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4748,case-insensitive charset handling,2018-07-24 14:28:26+00:00,2018-07-24 16:46:20+00:00,0.0957638888888888,4,Bug,https://github.com/psf/requests/issues/4748,2018-07-24 16:46:20+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4746,urllib3 LocationParseError uncaught by requests,2018-07-23 09:43:33+00:00,2018-10-01 02:25:44+00:00,69.69596064814814,2,Bug,https://github.com/psf/requests/issues/4746,2018-10-01 02:25:44+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4716,Should Authorization header be cleared in https -> http redirect?,2018-06-27 09:06:49+00:00,2018-09-14 12:08:05+00:00,79.12587962962964,4,Bug,https://github.com/psf/requests/issues/4716,2018-09-14 12:08:05+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4649,utf-8 passwords in url don't work,2018-05-16 16:25:58+00:00,2018-10-03 16:11:33+00:00,139.98998842592593,7,Bug,https://github.com/psf/requests/issues/4649,2018-10-03 16:11:33+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4592,Malformed `Set-Cookie` containing CRLF does not cause an error,2018-04-17 02:42:53+00:00,2024-05-19 19:10:13+00:00,2224.685648148148,7,Bug,https://github.com/psf/requests/issues/4592,2024-05-19 19:10:14+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4443,fragment not append on redirect,2018-01-01 13:57:19+00:00,2018-01-21 18:53:24+00:00,20.205613425925925,5,Bug,https://github.com/psf/requests/issues/4443,2018-01-21 18:53:24+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4401,Find cause of status code 0,2017-11-27 10:39:30+00:00,2017-11-27 21:52:45+00:00,0.4675347222222222,6,Bug;Propose Close;Needs More Information,https://github.com/psf/requests/issues/4401,2017-11-27 21:52:45+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4392,Streamed request with preset Host header sends two Host headers,2017-11-20 19:04:03+00:00,2024-05-19 18:59:48+00:00,2371.997048611111,8,Bug,https://github.com/psf/requests/issues/4392,2024-05-19 18:59:48+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4362,Redirect resolved even though allow_redirects is set to False causing exception for unsupported connection adapter,2017-10-31 13:11:11+00:00,2021-12-29 02:32:57+00:00,1519.5567824074076,6,Bug,https://github.com/psf/requests/issues/4362,2021-12-29 02:32:57+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4275,Requests tries to resolve `user:pass@host` on OS X,2017-09-05 10:13:27+00:00,2018-01-16 14:07:27+00:00,133.1625,1,Bug;PR(s) Wanted,https://github.com/psf/requests/issues/4275,2018-01-16 14:07:27+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,4030,fix pypi page,2017-05-17 14:38:38+00:00,2017-05-18 01:41:01+00:00,0.4599884259259259,3,Bug;Planned;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/4030,2017-05-18 01:41:01+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3696,A whitespace at the start of Url causes error on request,2016-11-16 16:05:10+00:00,2016-11-16 18:38:12+00:00,0.1062731481481481,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3696,2016-11-16 18:38:12+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3689,security extras need to be updated,2016-11-16 01:03:01+00:00,2016-11-16 10:33:47+00:00,0.3963657407407407,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3689,2016-11-16 10:33:48+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3683,URL has an invalid label.,2016-11-15 14:50:57+00:00,2016-11-30 15:07:22+00:00,15.011400462962962,29,Bug,https://github.com/psf/requests/issues/3683,2016-11-30 15:07:22+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3597,TypeError in MockRequest when 'Host' header set to bytestring,2016-09-25 06:04:14+00:00,2016-09-29 07:09:41+00:00,4.045451388888889,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3597,2016-09-29 07:09:41+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3578,"""LookupError: unknown encoding: idna"" in worker threads, under embedded Python 3.5",2016-09-16 22:43:02+00:00,2016-09-17 07:19:01+00:00,0.3583217592592593,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3578,2016-09-17 07:19:01+00:00,c12122970abd651d1d9a05aa2a9535a53a9c041f,"Merge pull request #3580 from rbcarson/idna-thread-embedded-3578

Add workaround to avoid implicit import of encodings.idna. Fixes #3578.",2016-09-17T07:18:59Z,5.0,5.0,0.0,1.0,True,commit_linked
psf,requests,psf/requests,3518,ALL_PROXY is incorrectly preferred to HTTP(S)_PROXY,2016-08-17 12:04:32+00:00,2016-08-25 12:45:16+00:00,8.028287037037037,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3518,2016-08-25 12:45:16+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3490,Remove header in middle of redirection,2016-08-09 18:24:05+00:00,2016-08-12 19:57:40+00:00,3.0649884259259257,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3490,2016-08-12 19:57:40+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3481,Error with decode_unicode=True on streamed response,2016-08-09 07:58:53+00:00,2016-09-11 09:11:16+00:00,33.05026620370371,9,Bug,https://github.com/psf/requests/issues/3481,2016-09-11 09:11:16+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3359,Uncertain about content/text vs iter_content(decode_unicode=True/False),2016-06-22 00:19:56+00:00,2016-09-24 17:01:11+00:00,94.6953125,15,Bug,https://github.com/psf/requests/issues/3359,2016-09-24 17:01:11+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3090,Session.close() doesn't work with proxies,2016-04-13 14:29:33+00:00,2016-04-15 13:36:43+00:00,1.9633101851851853,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3090,2016-04-15 13:36:43+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3068,Response read hangs,2016-03-27 20:57:08+00:00,2016-03-28 15:35:07+00:00,0.7763773148148148,5,Bug,https://github.com/psf/requests/issues/3068,2016-03-28 15:35:07+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3066,auth and data set results in invalid http header,2016-03-25 11:30:41+00:00,2016-12-08 12:33:12+00:00,258.0434143518518,12,Bug,https://github.com/psf/requests/issues/3066,2016-12-08 12:33:13+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3028,"""in"" operation on resp.cookies should not raise CookieConflictError",2016-03-03 12:37:56+00:00,2016-04-16 04:05:38+00:00,43.64423611111111,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3028,2016-04-16 04:05:38+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,3009,"Inspecting 'response.ok' with non-ascii HTTP status ""reason"" content causes UnicodeDecodeError",2016-02-12 23:09:13+00:00,2016-08-05 00:10:35+00:00,174.04261574074076,12,Bug,https://github.com/psf/requests/issues/3009,2016-08-05 00:10:35+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2998,Requests default to environment CA even when there's a session-set CA,2016-02-05 23:16:51+00:00,2016-02-10 08:46:49+00:00,4.395810185185185,4,Bug,https://github.com/psf/requests/issues/2998,2016-02-10 08:46:49+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2997,allow_redirects=True for one get affects the next one,2016-02-05 19:41:55+00:00,2016-02-05 22:53:55+00:00,0.1333333333333333,7,Bug,https://github.com/psf/requests/issues/2997,2016-02-05 22:53:55+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2949,Session's Authorization header isn't sent on redirect,2015-12-28 21:44:14+00:00,2021-09-08 22:43:04+00:00,2081.0408564814816,37,Bug,https://github.com/psf/requests/issues/2949,2021-09-08 22:43:04+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2935,KeyError in connectionpool?,2015-12-18 00:38:06+00:00,2016-03-09 08:17:03+00:00,82.31871527777777,44,Bug;Needs More Information,https://github.com/psf/requests/issues/2935,2016-03-09 08:17:03+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2925,Deadlock caused by local import in different thread.,2015-12-11 18:35:38+00:00,2024-05-20 14:35:55+00:00,3082.8335300925924,16,Bug;Planned,https://github.com/psf/requests/issues/2925,2024-05-20 14:35:55+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2844,_encode_params return bytes that break urlencode,2015-10-23 11:27:22+00:00,2015-10-23 12:24:36+00:00,0.0397453703703703,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2844,2015-10-23 12:24:36+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2756,Json supersedes data in prepare_body,2015-09-04 23:44:09+00:00,2015-10-06 14:52:47+00:00,31.63099537037037,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2756,2015-10-06 14:52:47+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2708,user-agent not sent in CONNECT makes the request fail (proxy is used),2015-08-05 09:29:13+00:00,2024-05-20 14:36:16+00:00,3211.213229166666,15,Bug,https://github.com/psf/requests/issues/2708,2024-05-20 14:36:16+00:00,,,,,,,,False,manual_or_unknown
psf,requests,psf/requests,2707,parse_header_links fails for momento link headers,2015-08-05 08:05:52+00:00,2016-09-23 06:43:09+00:00,414.9425578703704,4,Bug,https://github.com/psf/requests/issues/2707,2016-09-23 06:43:09+00:00,,,,,,,,False,manual_or_unknown
