owner,repo,issue_number,title,state,created_at,closed_at,comments,labels,html_url
psf,requests,4592,Malformed `Set-Cookie` containing CRLF does not cause an error,closed,2018-04-17T02:42:53Z,2024-05-19T19:10:13Z,7,Bug,https://github.com/psf/requests/issues/4592
psf,requests,4443,fragment not append on redirect,closed,2018-01-01T13:57:19Z,2018-01-21T18:53:24Z,5,Bug,https://github.com/psf/requests/issues/4443
psf,requests,4401,Find cause of status code 0,closed,2017-11-27T10:39:30Z,2017-11-27T21:52:45Z,6,Bug;Propose Close;Needs More Information,https://github.com/psf/requests/issues/4401
psf,requests,4392,Streamed request with preset Host header sends two Host headers,closed,2017-11-20T19:04:03Z,2024-05-19T18:59:48Z,8,Bug,https://github.com/psf/requests/issues/4392
psf,requests,4362,Redirect resolved even though allow_redirects is set to False causing exception for unsupported connection adapter,closed,2017-10-31T13:11:11Z,2021-12-29T02:32:57Z,6,Bug,https://github.com/psf/requests/issues/4362
psf,requests,4275,Requests tries to resolve `user:pass@host` on OS X,closed,2017-09-05T10:13:27Z,2018-01-16T14:07:27Z,1,Bug;PR(s) Wanted,https://github.com/psf/requests/issues/4275
psf,requests,4030,fix pypi page,closed,2017-05-17T14:38:38Z,2017-05-18T01:41:01Z,3,Bug;Planned;Contributor Friendly;Documentation,https://github.com/psf/requests/issues/4030
psf,requests,3696,A whitespace at the start of Url causes error on request,closed,2016-11-16T16:05:10Z,2016-11-16T18:38:12Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3696
psf,requests,3689,security extras need to be updated,closed,2016-11-16T01:03:01Z,2016-11-16T10:33:47Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3689
psf,requests,3683,URL has an invalid label.,closed,2016-11-15T14:50:57Z,2016-11-30T15:07:22Z,29,Bug,https://github.com/psf/requests/issues/3683
psf,requests,3597,TypeError in MockRequest when 'Host' header set to bytestring,closed,2016-09-25T06:04:14Z,2016-09-29T07:09:41Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3597
psf,requests,3578,"""LookupError: unknown encoding: idna"" in worker threads, under embedded Python 3.5",closed,2016-09-16T22:43:02Z,2016-09-17T07:19:01Z,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3578
psf,requests,3518,ALL_PROXY is incorrectly preferred to HTTP(S)_PROXY,closed,2016-08-17T12:04:32Z,2016-08-25T12:45:16Z,2,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3518
psf,requests,3490,Remove header in middle of redirection,closed,2016-08-09T18:24:05Z,2016-08-12T19:57:40Z,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3490
psf,requests,3481,Error with decode_unicode=True on streamed response,closed,2016-08-09T07:58:53Z,2016-09-11T09:11:16Z,9,Bug,https://github.com/psf/requests/issues/3481
psf,requests,3359,Uncertain about content/text vs iter_content(decode_unicode=True/False),closed,2016-06-22T00:19:56Z,2016-09-24T17:01:11Z,15,Bug,https://github.com/psf/requests/issues/3359
psf,requests,3090,Session.close() doesn't work with proxies,closed,2016-04-13T14:29:33Z,2016-04-15T13:36:43Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3090
psf,requests,3068,Response read hangs,closed,2016-03-27T20:57:08Z,2016-03-28T15:35:07Z,5,Bug,https://github.com/psf/requests/issues/3068
psf,requests,3066,auth and data set results in invalid http header,closed,2016-03-25T11:30:41Z,2016-12-08T12:33:12Z,12,Bug,https://github.com/psf/requests/issues/3066
psf,requests,3028,"""in"" operation on resp.cookies should not raise CookieConflictError",closed,2016-03-03T12:37:56Z,2016-04-16T04:05:38Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/3028
psf,requests,3009,"Inspecting 'response.ok' with non-ascii HTTP status ""reason"" content causes UnicodeDecodeError",closed,2016-02-12T23:09:13Z,2016-08-05T00:10:35Z,12,Bug,https://github.com/psf/requests/issues/3009
psf,requests,2998,Requests default to environment CA even when there's a session-set CA,closed,2016-02-05T23:16:51Z,2016-02-10T08:46:49Z,4,Bug,https://github.com/psf/requests/issues/2998
psf,requests,2997,allow_redirects=True for one get affects the next one,closed,2016-02-05T19:41:55Z,2016-02-05T22:53:55Z,7,Bug,https://github.com/psf/requests/issues/2997
psf,requests,2949,Session's Authorization header isn't sent on redirect,closed,2015-12-28T21:44:14Z,2021-09-08T22:43:04Z,37,Bug,https://github.com/psf/requests/issues/2949
psf,requests,2935,KeyError in connectionpool?,closed,2015-12-18T00:38:06Z,2016-03-09T08:17:03Z,44,Bug;Needs More Information,https://github.com/psf/requests/issues/2935
psf,requests,2925,Deadlock caused by local import in different thread.,closed,2015-12-11T18:35:38Z,2024-05-20T14:35:55Z,16,Bug;Planned,https://github.com/psf/requests/issues/2925
psf,requests,2844,_encode_params return bytes that break urlencode,closed,2015-10-23T11:27:22Z,2015-10-23T12:24:36Z,8,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2844
psf,requests,2756,Json supersedes data in prepare_body,closed,2015-09-04T23:44:09Z,2015-10-06T14:52:47Z,4,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2756
psf,requests,2708,user-agent not sent in CONNECT makes the request fail (proxy is used),closed,2015-08-05T09:29:13Z,2024-05-20T14:36:16Z,15,Bug,https://github.com/psf/requests/issues/2708
psf,requests,2707,parse_header_links fails for momento link headers,closed,2015-08-05T08:05:52Z,2016-09-23T06:43:09Z,4,Bug,https://github.com/psf/requests/issues/2707
psf,requests,2620,Connect Error or Timeout Error,closed,2015-06-01T14:00:42Z,2015-06-02T20:53:50Z,6,Bug;Planned,https://github.com/psf/requests/issues/2620
psf,requests,2599,"Auth handler should be calling close, not release_conn",closed,2015-05-13T15:10:24Z,2015-05-14T06:15:18Z,2,Bug;Planned;Contributor Friendly,https://github.com/psf/requests/issues/2599
psf,requests,2540,MisssingSchema error message does not handle unicode input correctly,closed,2015-04-08T00:56:52Z,2015-04-11T19:11:01Z,3,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2540
psf,requests,2530,"__build__ out of sync? Still at 0x020503, looks like 2.5.3 rather than 2.6.0",closed,2015-04-05T21:21:27Z,2015-04-06T21:54:22Z,1,Bug,https://github.com/psf/requests/issues/2530
psf,requests,2503,Redirect doesn't pass all parameters,closed,2015-03-17T13:41:37Z,2015-05-03T15:06:00Z,4,Bug,https://github.com/psf/requests/issues/2503
psf,requests,2455,"CERTIFICATE_VERIFY_FAILED with 2.5.2, works with 2.5.1",closed,2015-02-24T01:11:01Z,2015-05-31T12:57:28Z,111,Bug;Planned,https://github.com/psf/requests/issues/2455
psf,requests,2345,Using RecentlyUsedContainer for session cache breaks pickling,closed,2014-11-16T15:52:15Z,2014-11-30T19:12:43Z,5,Bug,https://github.com/psf/requests/issues/2345
psf,requests,2336,Timeout for connecting to proxy,closed,2014-11-13T12:10:06Z,2015-03-02T09:49:24Z,38,Bug,https://github.com/psf/requests/issues/2336
psf,requests,2255,Session requests should respect verify=False,closed,2014-09-29T01:06:48Z,2015-08-31T09:45:01Z,20,Bug,https://github.com/psf/requests/issues/2255
psf,requests,2250,Link header parsing breaks if attribute value has commas,closed,2014-09-25T20:01:41Z,2014-10-10T18:30:18Z,5,Bug;Contributor Friendly,https://github.com/psf/requests/issues/2250
